layer,pair,kl_10,kl_40,kl_70,kl_100,category
first,"(46, 61)",0.003219510996268375,0.003973291058840892,0.004099610412148451,0.004666637753147997,Stable
first,"(49, 57)",0.002546409088372653,0.005004456586417768,0.0051543615121429935,0.010374810046145141,Stable
first,"(18, 51)",0.0014393447778851332,0.003585949003114583,0.004001008597586769,0.004417139277947483,Stable
first,"(7, 60)",0.0015093872774140959,0.002347052024920335,0.00255899080584699,0.002911874136206746,Stable
first,"(27, 38)",0.00384482326814811,0.004946375940401222,0.004835522083438228,0.004671186902837191,Stable
first,"(19, 34)",0.001837139598991374,0.0029874049566152782,0.0033833538683152426,0.0044440908871110855,Stable
first,"(11, 39)",0.0013232089242344713,0.0014323847662443953,0.0016397691182436828,0.0018896318213568978,Stable
first,"(8, 52)",0.0016778156644862061,0.001996407798610397,0.0022419239388139656,0.002236162048217457,Stable
first,"(0, 48)",0.0017394609546729394,0.002339902275214595,0.0027080790965944156,0.003183458636414296,Stable
first,"(20, 26)",0.0023829605746866493,0.0039059787316469835,0.004181892560522453,0.005083020907029904,Stable
first,"(0, 57)",0.0025905187719059766,0.005105996749357944,0.004747629897622296,0.009630974850106645,Stable
first,"(11, 57)",0.0024701306499920078,0.004646234167146101,0.004316210989870468,0.009429118706029166,Stable
first,"(20, 35)",0.0015012200928748243,0.0020259246804677643,0.0023006680471763007,0.002628731651347387,Stable
first,"(12, 31)",0.0016985499149201186,0.0026365673941485947,0.0029075568286324924,0.003468850399215155,Stable
first,"(4, 27)",0.0018591301649705265,0.003511841279800174,0.004002967155095546,0.004064561778411643,Stable
first,"(1, 3)",0.0017230444035383323,0.002231224694518341,0.002671205876312909,0.0032364317031906517,Stable
first,"(1, 21)",0.0015408819219353386,0.0018683456397900408,0.001910953292385869,0.002109730871771389,Stable
first,"(13, 23)",0.0014823374908931903,0.0028412449894725527,0.0030543210729325615,0.0038192532667663524,Stable
first,"(37, 60)",0.0016460259623272252,0.003086168033703451,0.003658320836797908,0.004383912317476734,Stable
first,"(46, 47)",0.0032530828634238958,0.0041622775138949525,0.004773061015452464,0.005704685965940002,Stable
first,"(15, 50)",0.0018411652098923026,0.002927062128812242,0.0034842676985993937,0.004660101280478516,Stable
first,"(8, 20)",0.0015716598419579016,0.002165495503779836,0.0023152037629381246,0.002519176037960685,Stable
first,"(27, 33)",0.004087541031520763,0.0039220089537049295,0.004157841072752481,0.004393429129988983,Stable
first,"(19, 29)",0.0017032515318373303,0.003924647961706893,0.004328376572126478,0.005934936174035359,Stable
first,"(27, 42)",0.0014826791394019368,0.003743005307218422,0.0042780266088832345,0.00433656392759995,Stable
first,"(19, 38)",0.003961513588600026,0.004205050082239459,0.004319148663399192,0.005367848943439707,Stable
first,"(11, 43)",0.0013049411274983602,0.0013823624937103066,0.0014990221642922875,0.0017774517278365404,Stable
first,"(8, 56)",0.0019996494029553866,0.0027841334871757132,0.0030957084360677014,0.003591524678680724,Stable
first,"(30, 56)",0.0015491947330440803,0.0034719125343706026,0.0037444572229218312,0.004311568565448147,Stable
first,"(11, 61)",0.0014490028458865045,0.0021766644003419536,0.0023587482036610727,0.0027932308463475557,Stable
first,"(23, 26)",0.002402691690825285,0.004446845359849858,0.004593793092548098,0.005258127385424114,Stable
first,"(4, 22)",0.0018423054391547959,0.0030127394214781293,0.0030625876741017357,0.0035404390717313668,Stable
first,"(23, 35)",0.0015797186950087983,0.0024879264852930923,0.002698382257278074,0.0032192786446949948,Stable
first,"(4, 31)",0.0016510637713337344,0.002630741175291021,0.003049518526785406,0.0035405714425841275,Stable
first,"(23, 44)",0.0015897564110076714,0.002804758522207537,0.0028499840263314156,0.00368950916777174,Stable
first,"(14, 53)",0.0016832430861519017,0.005011670359838686,0.006452162882494631,0.0072323242613388655,Stable
