Layer,Expert_A,Expert_B,Oracle_KL,Pred_XGBoost_B,Residual_XGBoost_B,AbsResidual_XGBoost_B,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap
last,49,57,0.0097533617070844,0.008653934113681316,0.0010994275934030837,0.0010994275934030837,0.7869890652278176,0.14573078954369156,0.12661871746536682,0.8374720141992861,-1.1499622027853387,1.686753960789988,-0.40363785424835796
last,49,58,0.008349543265395649,0.00918432418256998,-0.0008347809171743315,0.0008347809171743315,1.1817956596109533,0.9909625122990887,-0.7368887008112895,0.8591097084571332,0.061810099215804895,1.5808435216667878,1.050554696378282
last,49,59,0.014077780818087393,0.008928971365094185,0.005148809452993208,0.005148809452993208,0.7986978177585015,-0.6069081440573004,-0.5993528865793066,0.9170689921286268,1.0443689439861743,2.6509440787093976,2.6542724981739765
last,49,60,0.01092727163290403,0.008950290270149708,0.0019769813627543223,0.0019769813627543223,1.1014700586042496,-0.09868621187027038,-0.7671672698280798,0.9049022963971938,0.5328696701516527,1.7029588367214068,2.1470550077840658
last,49,61,0.009320988594201713,0.006980389356613159,0.0023405992375885535,0.0023405992375885535,0.7438745037868583,-0.22728117910442594,-1.907532349922205,1.1814557608708136,2.762029091247043,1.3357447732040806,4.13387157587289
last,49,62,0.008766764256183102,0.008804995566606522,-3.823131042341929e-05,3.823131042341929e-05,0.6980501290261281,-0.11691102120350966,-6.011972642617376,1.104671257816771,-0.6510509575158151,1.8887361643637417,0.23532446240090985
last,49,63,0.007819059872943684,0.008795712143182755,-0.0009766522702390704,0.0009766522702390704,0.7136255069243644,-0.517486654804388,3.2748040627503534,1.0387711657811407,0.30662602624382407,1.485061130000724,0.4479123340138218
last,50,51,0.0009541116248949599,0.002265049610286951,-0.0013109379853919912,0.0013109379853919912,0.7682970995773225,0.1735725237231993,1.3414283723300233,1.5517811088598057,0.14095444351768968,-1.1690660493380596,-0.24509919473685748
last,50,52,0.004461728509598878,0.003159940242767334,0.0013017882668315437,0.0013017882668315437,0.6943216154237574,-0.603814148246467,3.6738092453657645,1.0275491611341034,0.6492247385390305,-0.8252911813643926,0.19033545421595224
last,50,53,0.0037253934527079952,0.0028401378076523542,0.000885255645055641,0.000885255645055641,0.7302024471489371,0.46699876830518544,-1.443335839186676,1.4770214354291096,-0.3341613072723469,-0.7876727193807422,-0.4151953687408455
last,50,54,0.002607082288014773,0.003948618192225695,-0.0013415359042109215,0.0013415359042109215,0.6596606029385043,-0.4058142365612815,3.343067634810639,1.134140889971228,0.65815427941643,-0.33914490342183307,-0.2777394033826671
last,50,55,0.006173331501113055,0.004132144618779421,0.0020411868823336345,0.0020411868823336345,0.7029898928902937,-0.22930634192066154,3.8789298445727347,1.2220213217173108,-0.3482211560566871,-0.13166461694277634,-0.33330662983384923
last,50,56,0.0047919830143862046,0.0040449416264891624,0.0007470413878970421,0.0007470413878970421,0.6765636683896193,-0.1711092221798226,0.34763840120615563,0.8730984287042808,0.07781209055693401,-0.06742385878608095,-0.2043264244119555
last,50,57,0.0023242810246652465,0.002841889625415206,-0.0005176086007499595,0.0005176086007499595,0.7830831233723667,0.9982933642145676,-0.164509283509357,1.2598080865150483,-0.2853425336887752,-0.8773782825725239,-0.4259254241911391
last,50,58,0.00127982743526849,0.00384329236112535,-0.00256346492585686,0.00256346492585686,1.2041143192413128,-1.81670296344474,2.8483008529380065,1.0670077868100993,-0.2576010334636089,-0.6889965998697822,-0.4272319869880454
last,50,59,0.006958153208841132,0.005779140163213015,0.0011790130456281172,0.0011790130456281172,0.7978953581593432,-0.19891085970701944,-2.6548797076286728,1.2219031529650661,0.23233066609567854,0.8438110395717283,-0.08332897184591931
